plot,burn,site,date,decid_prop_canopy,piba_prop_canopy,stand_dominance,time_after_fire,moisture,nonvascular_functionalgroup,avg_org_carbon,ecozone,avg_carbon_stock,latitude,longitude 
ZF20-9A,ZF20,ZF20-9,2015-07-10,0,0,Black Spruce,1,Mesic,Pleurocarpous,11.85,plains,4.232777077,61.79347,-116.731926
ZF20-9B,ZF20,ZF20-9,2015-07-11,0,0,Black Spruce,1,Mesic,Colonizers,28.7,plains,NA,61.795912,-116.737058
ZF20-9C,ZF20,ZF20-9,2015-07-11,0,0,Black Spruce,1,Hydric,Pleurocarpous,23.8,plains,38.16474221,61.79548,-116.740261
ZF26-104A,ZF26,ZF26-104,2015-08-14,0,0,Black Spruce,1,Hydric,Sphagnum,31.15,shield,16.15801894,64.136446,-114.211082
ZF26-104B,ZF26,ZF26-104,2015-08-14,0.162790698,0,Black Spruce,1,Xeric,Colonizers,4,shield,2.669381607,64.137178,-114.20659
ZF26-104C,ZF26,ZF26-104,2015-08-13,0,0,Black Spruce,1,Mesic,Lichen,7.1,shield,3.070576559,64.138304,-114.205305
ZF26-112A,ZF26,ZF26-112,2015-08-16,0.33333333,0,Black Spruce,1,Xeric,Lichen,4.25,shield,NA,64.132745,-114.29137
ZF26-113B,ZF26,ZF26-113,2015-08-17,0.575757576,0,Deciduous,1,Xeric,Colonizers,3,shield,NA,64.130752,-114.300754
ZF26-113C,ZF26,ZF26-113,2015-08-17,0.916666666,0,Deciduous,1,Mesic,Lichen,4,shield,NA,64.13228,-114.301544
ZF26-118A,ZF26,ZF26-118,2015-08-16,0.846153846,0,Deciduous,1,Xeric,Lichen,3.15,shield,NA,64.122851,-114.295261
ZF26-118B,ZF26,ZF26-118,2015-08-16,0,0,Black Spruce,1,Hydric,Sphagnum,30.3,shield,NA,64.123146,-114.292541
ZF26-118C,ZF26,ZF26-118,2015-08-16,0,0,Black Spruce,1,Mesic,Lichen,5.2,shield,NA,64.124337,-114.293096
ZF26-50A,ZF26,ZF26-50,2015-08-13,0,0,Black Spruce,1,Xeric,Lichen,6.25,shield,NA,64.169108,-114.239513
ZF26-50B,ZF26,ZF26-50,2015-08-13,0.5,0,Deciduous,1,Xeric,Lichen,3.5,shield,NA,64.170415,-114.241935
ZF26-50C,ZF26,ZF26-50,2015-08-13,0,0,Black Spruce,1,Hydric,Sphagnum,34,shield,NA,64.169876,-114.237496
ZF26-54A,ZF26,ZF26-54,2015-08-13,0,0,Black Spruce,1,Hydric,Sphagnum,16.6,shield,NA,64.161816,-114.256523
ZF26-54B,ZF26,ZF26-54,2015-08-13,0.25,0,Black Spruce,1,Mesic,Lichen,9.65,shield,NA,64.160961,-114.258512
ZF26-54C,ZF26,ZF26-54,2015-08-13,0,0,Black Spruce,1,Xeric,Colonizers,4.85,shield,NA,64.159983,-114.265107
ZF26-5A,ZF26,ZF26-5,2015-08-13,0,0,Black Spruce,1,Xeric,Lichen,4.1,shield,NA,64.162024,-114.273296
ZF26-5B,ZF26,ZF26-5,2015-08-15,0,0,Black Spruce,1,Mesic,Sphagnum,10.05,shield,NA,64.163059,-114.273805
ZF26-5C,ZF26,ZF26-5,2015-08-15,0,0,Black Spruce,1,Hydric,Sphagnum,33.4,shield,NA,64.161839,-114.275587
ZF26-66A,ZF26,ZF26-66,2015-08-14,0,0,Black Spruce,1,Xeric,Colonizers,3.75,shield,NA,64.144182,-114.227293
ZF26-66B,ZF26,ZF26-66,2015-08-15,0,0,Black Spruce,1,Hydric,Sphagnum,26.85,shield,NA,64.142676,-114.224271
ZF26-66C,ZF26,ZF26-66,2015-08-15,0.666666666,0,Deciduous,1,Xeric,Lichen,1.9,shield,NA,64.142156,-114.22957
ZF26-6A,ZF26,ZF26-6,2015-08-12,0,0,Black Spruce,1,Hydric,Colonizers,9.3,shield,NA,64.168843,-114.22285
ZF26-6B,ZF26,ZF26-6,2015-08-12,0,0,Black Spruce,1,Mesic,Lichen,10.25,shield,NA,64.168582,-114.226852
ZF26-6C,ZF26,ZF26-6,2015-08-12,0.399999999,0,Black Spruce,1,Xeric,Lichen,3.7,shield,NA,64.168587,-114.230315
ZF26-7A,ZF26,ZF26-7,2015-08-14,0,0,Black Spruce,1,Mesic,Sphagnum,3.15,shield,NA,64.142468,-114.204189
ZF26-7B,ZF26,ZF26-7,2015-08-14,0,0,Black Spruce,1,Xeric,Colonizers,2,shield,NA,64.143904,-114.200895
ZF26-7C,ZF26,ZF26-7,2015-08-15,0,0,Black Spruce,1,Hydric,Lichen,22.9,shield,NA,64.14474,-114.197794
ZF26-96A,ZF26,ZF26-96,2015-08-12,0,0,Black Spruce,1,Mesic,Lichen,4.7,shield,2.670962736,64.153313,-114.267062
ZF26-96B,ZF26,ZF26-96,2015-08-12,0,0,Black Spruce,1,Hydric,Lichen,42.2,shield,14.91913049,64.154515,-114.266084
ZF26-96C,ZF26,ZF26-96,2015-08-12,0.461538462,0,Black Spruce,1,Xeric,Colonizers,3,shield,1.257212547,64.155846,-114.270177
ZF26-98A,ZF26,ZF26-98,2015-08-14,0.833333333,0,Deciduous,1,Xeric,Lichen,2,shield,2.393066851,64.142106,-114.24299
ZF26-98C,ZF26,ZF26-98,2015-08-14,0,0,Black Spruce,1,Mesic,Lichen,12.33333333,shield,6.852474138,64.142288,-114.239768
ZF35-11A,ZF35,ZF35-11,2015-07-29,0,0,Black Spruce,1,Hydric,Colonizers,20.3,plains,24.70356468,64.042219,-117.505311
ZF35-11B,ZF35,ZF35-11,2015-07-29,0,0,Black Spruce,1,Xeric,Lichen,1.8,plains,0.878855968,64.041144,-117.505505
ZF35-11C,ZF35,ZF35-11,2015-07-29,0,0,Black Spruce,1,Mesic,Lichen,4.35,plains,2.030978223,64.041816,-117.502513
ZF35-24A,ZF35,ZF35-24,2015-07-28,0,0,Black Spruce,1,Mesic,Pleurocarpous,25.7,plains,NA,64.108697,-117.459952
ZF35-24B,ZF35,ZF35-24,2015-07-28,0,0.090909092,Black Spruce,1,Xeric,Bare,1.85,plains,0.468500309,64.10922,-117.462922
ZF35-24C,ZF35,ZF35-24,2015-07-28,0,0,Black Spruce,1,Hydric,Sphagnum,39.3,plains,NA,64.10909,-117.465932
ZF35-29A,ZF35,ZF35-29,2015-07-30,0,0,Black Spruce,1,Hydric,Pleurocarpous,22.7,plains,5.921948425,64.09325,-117.463884
ZF35-29B,ZF35,ZF35-29,2015-07-31,0.416666666,0.166666668,Mixed,1,Xeric,Lichen,0.8,plains,0.664334963,64.09252,-117.461938
